1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
152,P20002671,Florida,FL,08/11/2016,Gary,Johnson,"Johnson, Gary",,LBF,"207,043",,2.20%,
153,P20003984,Florida,FL,08/11/2016,Jill,Stein,"Stein, Jill",,GPF,"64,399",,0.68%,
154,P60021102,Florida,FL,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,CPF,"16,475",,0.17%,
155,P60016342,Florida,FL,08/11/2016,Roque (Rocky),De La Fuente,"De La Fuente, Roque (Rocky)",,RPF,"9,108",,0.10%,
156,P20004511,Florida,FL,08/11/2016,Laurence J.,Kotlikoff,"Kotlikoff, Laurence J.",,W,74,,0.00%,
157,n/a,Florida,FL,08/11/2016,Richard,Duncan,"Duncan, Richard",,W,25,,0.00%,
158,P60015351,Florida,FL,08/11/2016,Andrew D.,Basiago,"Basiago, Andrew D.",,W,24,,0.00%,
159,P60008190,Florida,FL,08/11/2016,Zoltan Istvan,Gyurko,"Gyurko, Zoltan Istvan",,W,19,,0.00%,
160,n/a,Florida,FL,08/11/2016,"Anthony ""Tony"" Joseph",Valdivia,"Valdivia, Anthony ""Tony"" Joseph",,W,9,,0.00%,
161,P60005303,Florida,FL,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,2,,0.00%,
162,n/a,Florida,FL,08/11/2016,,,,Total State Votes:,,,"9,420,039",,
163,n/a,Florida,FL,08/11/2016,,,,,,,,,
164,P80001571,Georgia,GA,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"2,089,104",,50.77%,W
165,P00003392,Georgia,GA,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,877,963",,45.64%,
166,P20002671,Georgia,GA,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"125,306",,3.05%,
167,P60022654,Georgia,GA,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"13,017",,0.32%,
168,P20003984,Georgia,GA,08/11/2016,Jill,Stein,"Stein, Jill",,W,"7,674",,0.19%,
169,P60021102,Georgia,GA,08/11/2016,Darrell,Castle,"Castle, Darrell",,W,"1,110",,0.03%,
170,P60022787,Georgia,GA,08/11/2016,Mike,Maturen,"Maturen, Mike",,W,151,,0.00%,
