State,num_deaths,area,Date,full_name
SD,0,Midwest,2020-03-07,South Dakota
WI,0,Midwest,2020-03-07,Wisconsin
AL,0,South,2020-03-07,Alabama
AR,0,South,2020-03-07,Arkansas
FL,0,South,2020-03-07,Florida
GA,0,South,2020-03-07,Georgia
KY,0,South,2020-03-07,Kentucky
LA,0,South,2020-03-07,Louisiana
MS,0,South,2020-03-07,Mississippi
NC,0,South,2020-03-07,North Carolina
SC,0,South,2020-03-07,South Carolina
TN,0,South,2020-03-07,Tennessee
TX,0,South,2020-03-07,Texas
VA,0,South,2020-03-07,Virginia
WV,0,South,2020-03-07,West Virginia
CT,0,Northeast,2020-03-07,Connecticut
DC,0,Northeast,2020-03-07,NA
DE,0,Northeast,2020-03-07,Delaware
MA,0,Northeast,2020-03-07,Massachusetts
MD,0,Northeast,2020-03-07,Maryland
ME,0,Northeast,2020-03-07,Maine
NH,0,Northeast,2020-03-07,New Hampshire
NJ,0,Northeast,2020-03-07,New Jersey
NY,0,Northeast,2020-03-07,New York
PA,0,Northeast,2020-03-07,Pennsylvania
RI,0,Northeast,2020-03-07,Rhode Island
VT,0,Northeast,2020-03-07,Vermont
GU,0,Territories,2020-03-07,NA
MP,0,Territories,2020-03-07,NA
PR,0,Territories,2020-03-07,NA
VI,0,Territories,2020-03-07,NA
AK,0,West,2020-03-08,Alaska
AZ,0,West,2020-03-08,Arizona
CA,0,West,2020-03-08,California
CO,0,West,2020-03-08,Colorado
HI,0,West,2020-03-08,Hawaii
ID,0,West,2020-03-08,Idaho
MT,0,West,2020-03-08,Montana
NM,0,West,2020-03-08,New Mexico
NV,0,West,2020-03-08,Nevada
OR,0,West,2020-03-08,Oregon
UT,0,West,2020-03-08,Utah
WA,2,West,2020-03-08,Washington
WY,0,West,2020-03-08,Wyoming
IA,0,Midwest,2020-03-08,Iowa
IL,0,Midwest,2020-03-08,Illinois
IN,0,Midwest,2020-03-08,Indiana
KS,0,Midwest,2020-03-08,Kansas
MI,0,Midwest,2020-03-08,Michigan
MN,0,Midwest,2020-03-08,Minnesota
MO,0,Midwest,2020-03-08,Missouri
ND,0,Midwest,2020-03-08,North Dakota
NE,0,Midwest,2020-03-08,Nebraska
OH,0,Midwest,2020-03-08,Ohio
OK,0,Midwest,2020-03-08,Oklahoma
SD,0,Midwest,2020-03-08,South Dakota
WI,0,Midwest,2020-03-08,Wisconsin
AL,0,South,2020-03-08,Alabama
AR,0,South,2020-03-08,Arkansas
FL,0,South,2020-03-08,Florida
GA,0,South,2020-03-08,Georgia
KY,0,South,2020-03-08,Kentucky
LA,0,South,2020-03-08,Louisiana
MS,0,South,2020-03-08,Mississippi
NC,0,South,2020-03-08,North Carolina
SC,0,South,2020-03-08,South Carolina
TN,0,South,2020-03-08,Tennessee
TX,0,South,2020-03-08,Texas
VA,0,South,2020-03-08,Virginia
WV,0,South,2020-03-08,West Virginia
CT,0,Northeast,2020-03-08,Connecticut
DC,0,Northeast,2020-03-08,NA
DE,0,Northeast,2020-03-08,Delaware
MA,0,Northeast,2020-03-08,Massachusetts
MD,0,Northeast,2020-03-08,Maryland
ME,0,Northeast,2020-03-08,Maine
NH,0,Northeast,2020-03-08,New Hampshire
NJ,0,Northeast,2020-03-08,New Jersey
NY,0,Northeast,2020-03-08,New York
PA,0,Northeast,2020-03-08,Pennsylvania
RI,0,Northeast,2020-03-08,Rhode Island
VT,0,Northeast,2020-03-08,Vermont
GU,0,Territories,2020-03-08,NA
MP,0,Territories,2020-03-08,NA
PR,0,Territories,2020-03-08,NA
VI,0,Territories,2020-03-08,NA
AK,0,West,2020-03-09,Alaska
AZ,0,West,2020-03-09,Arizona
CA,1,West,2020-03-09,California
CO,0,West,2020-03-09,Colorado
HI,0,West,2020-03-09,Hawaii
ID,0,West,2020-03-09,Idaho
MT,0,West,2020-03-09,Montana
NM,0,West,2020-03-09,New Mexico
NV,0,West,2020-03-09,Nevada
OR,0,West,2020-03-09,Oregon
UT,0,West,2020-03-09,Utah
WA,4,West,2020-03-09,Washington
WY,0,West,2020-03-09,Wyoming
IA,0,Midwest,2020-03-09,Iowa
IL,0,Midwest,2020-03-09,Illinois
IN,0,Midwest,2020-03-09,Indiana
KS,0,Midwest,2020-03-09,Kansas
MI,0,Midwest,2020-03-09,Michigan
MN,0,Midwest,2020-03-09,Minnesota
MO,0,Midwest,2020-03-09,Missouri
ND,0,Midwest,2020-03-09,North Dakota
NE,0,Midwest,2020-03-09,Nebraska
OH,0,Midwest,2020-03-09,Ohio
OK,0,Midwest,2020-03-09,Oklahoma
SD,0,Midwest,2020-03-09,South Dakota
WI,0,Midwest,2020-03-09,Wisconsin
AL,0,South,2020-03-09,Alabama
AR,0,South,2020-03-09,Arkansas
FL,0,South,2020-03-09,Florida
GA,0,South,2020-03-09,Georgia
KY,0,South,2020-03-09,Kentucky
LA,0,South,2020-03-09,Louisiana
MS,0,South,2020-03-09,Mississippi
NC,0,South,2020-03-09,North Carolina
SC,0,South,2020-03-09,South Carolina
TN,0,South,2020-03-09,Tennessee
TX,0,South,2020-03-09,Texas
VA,0,South,2020-03-09,Virginia
WV,0,South,2020-03-09,West Virginia
CT,0,Northeast,2020-03-09,Connecticut
DC,0,Northeast,2020-03-09,NA
DE,0,Northeast,2020-03-09,Delaware
MA,0,Northeast,2020-03-09,Massachusetts
MD,0,Northeast,2020-03-09,Maryland
ME,0,Northeast,2020-03-09,Maine
