State,num_cases,area,Date
LA,0,South,2020-02-26
MS,0,South,2020-02-26
NC,0,South,2020-02-26
SC,0,South,2020-02-26
TN,0,South,2020-02-26
TX,0,South,2020-02-26
VA,0,South,2020-02-26
WV,0,South,2020-02-26
CT,0,Northeast,2020-02-26
DC,0,Northeast,2020-02-26
DE,0,Northeast,2020-02-26
MA,0,Northeast,2020-02-26
MD,0,Northeast,2020-02-26
ME,0,Northeast,2020-02-26
NH,0,Northeast,2020-02-26
NJ,0,Northeast,2020-02-26
NY,0,Northeast,2020-02-26
PA,0,Northeast,2020-02-26
RI,0,Northeast,2020-02-26
VT,0,Northeast,2020-02-26
GU,0,Territories,2020-02-26
MP,0,Territories,2020-02-26
PR,0,Territories,2020-02-26
VI,0,Territories,2020-02-26
AK,0,West,2020-02-27
AZ,0,West,2020-02-27
CA,0,West,2020-02-27
CO,0,West,2020-02-27
HI,0,West,2020-02-27
ID,0,West,2020-02-27
MT,0,West,2020-02-27
NM,0,West,2020-02-27
NV,0,West,2020-02-27
OR,0,West,2020-02-27
UT,0,West,2020-02-27
WA,0,West,2020-02-27
WY,0,West,2020-02-27
IA,0,Midwest,2020-02-27
IL,0,Midwest,2020-02-27
IN,0,Midwest,2020-02-27
KS,0,Midwest,2020-02-27
MI,0,Midwest,2020-02-27
MN,0,Midwest,2020-02-27
MO,0,Midwest,2020-02-27
ND,0,Midwest,2020-02-27
NE,0,Midwest,2020-02-27
OH,0,Midwest,2020-02-27
OK,0,Midwest,2020-02-27
SD,0,Midwest,2020-02-27
WI,0,Midwest,2020-02-27
AL,0,South,2020-02-27
AR,0,South,2020-02-27
FL,0,South,2020-02-27
GA,0,South,2020-02-27
KY,0,South,2020-02-27
LA,0,South,2020-02-27
MS,0,South,2020-02-27
NC,0,South,2020-02-27
SC,0,South,2020-02-27
TN,0,South,2020-02-27
TX,0,South,2020-02-27
VA,0,South,2020-02-27
WV,0,South,2020-02-27
CT,0,Northeast,2020-02-27
DC,0,Northeast,2020-02-27
DE,0,Northeast,2020-02-27
MA,0,Northeast,2020-02-27
MD,0,Northeast,2020-02-27
ME,0,Northeast,2020-02-27
NH,0,Northeast,2020-02-27
NJ,0,Northeast,2020-02-27
NY,0,Northeast,2020-02-27
PA,0,Northeast,2020-02-27
RI,0,Northeast,2020-02-27
VT,0,Northeast,2020-02-27
GU,0,Territories,2020-02-27
MP,0,Territories,2020-02-27
PR,0,Territories,2020-02-27
VI,0,Territories,2020-02-27
AK,0,West,2020-02-28
AZ,0,West,2020-02-28
CA,1,West,2020-02-28
CO,0,West,2020-02-28
HI,0,West,2020-02-28
ID,0,West,2020-02-28
MT,0,West,2020-02-28
NM,0,West,2020-02-28
NV,0,West,2020-02-28
OR,1,West,2020-02-28
UT,0,West,2020-02-28
WA,2,West,2020-02-28
WY,0,West,2020-02-28
IA,0,Midwest,2020-02-28
IL,0,Midwest,2020-02-28
IN,0,Midwest,2020-02-28
KS,0,Midwest,2020-02-28
MI,0,Midwest,2020-02-28
MN,0,Midwest,2020-02-28
MO,0,Midwest,2020-02-28
ND,0,Midwest,2020-02-28
NE,0,Midwest,2020-02-28
OH,0,Midwest,2020-02-28
OK,0,Midwest,2020-02-28
SD,0,Midwest,2020-02-28
WI,0,Midwest,2020-02-28
AL,0,South,2020-02-28
AR,0,South,2020-02-28
FL,0,South,2020-02-28
GA,0,South,2020-02-28
KY,0,South,2020-02-28
LA,0,South,2020-02-28
MS,0,South,2020-02-28
NC,0,South,2020-02-28
SC,0,South,2020-02-28
TN,0,South,2020-02-28
TX,0,South,2020-02-28
VA,0,South,2020-02-28
WV,0,South,2020-02-28
CT,0,Northeast,2020-02-28
DC,0,Northeast,2020-02-28
DE,0,Northeast,2020-02-28
MA,0,Northeast,2020-02-28
MD,0,Northeast,2020-02-28
ME,0,Northeast,2020-02-28
NH,0,Northeast,2020-02-28
NJ,0,Northeast,2020-02-28
NY,0,Northeast,2020-02-28
PA,0,Northeast,2020-02-28
RI,0,Northeast,2020-02-28
VT,0,Northeast,2020-02-28
GU,0,Territories,2020-02-28
MP,0,Territories,2020-02-28
PR,0,Territories,2020-02-28
VI,0,Territories,2020-02-28
AK,0,West,2020-02-29
AZ,0,West,2020-02-29
CA,1,West,2020-02-29
CO,0,West,2020-02-29
HI,0,West,2020-02-29
ID,0,West,2020-02-29
MT,0,West,2020-02-29
NM,0,West,2020-02-29
NV,0,West,2020-02-29
OR,0,West,2020-02-29
UT,0,West,2020-02-29
WA,3,West,2020-02-29
WY,0,West,2020-02-29
IA,0,Midwest,2020-02-29
IL,1,Midwest,2020-02-29
IN,0,Midwest,2020-02-29
KS,0,Midwest,2020-02-29
MI,0,Midwest,2020-02-29
MN,0,Midwest,2020-02-29
MO,0,Midwest,2020-02-29
ND,0,Midwest,2020-02-29
NE,0,Midwest,2020-02-29
OH,0,Midwest,2020-02-29
OK,0,Midwest,2020-02-29
SD,0,Midwest,2020-02-29
WI,0,Midwest,2020-02-29
AL,0,South,2020-02-29
AR,0,South,2020-02-29
FL,0,South,2020-02-29
GA,0,South,2020-02-29
KY,0,South,2020-02-29
LA,0,South,2020-02-29
MS,0,South,2020-02-29
NC,0,South,2020-02-29
SC,0,South,2020-02-29
TN,0,South,2020-02-29
TX,0,South,2020-02-29
VA,0,South,2020-02-29
WV,0,South,2020-02-29
CT,0,Northeast,2020-02-29
DC,0,Northeast,2020-02-29
DE,0,Northeast,2020-02-29
MA,0,Northeast,2020-02-29
MD,0,Northeast,2020-02-29
ME,0,Northeast,2020-02-29
NH,0,Northeast,2020-02-29
NJ,0,Northeast,2020-02-29
NY,0,Northeast,2020-02-29
PA,0,Northeast,2020-02-29
RI,0,Northeast,2020-02-29
VT,0,Northeast,2020-02-29
GU,0,Territories,2020-02-29
MP,0,Territories,2020-02-29
PR,0,Territories,2020-02-29
VI,0,Territories,2020-02-29
AK,0,West,2020-03-01
AZ,0,West,2020-03-01
CA,5,West,2020-03-01
CO,0,West,2020-03-01
HI,0,West,2020-03-01
ID,0,West,2020-03-01
MT,0,West,2020-03-01
NM,0,West,2020-03-01
NV,0,West,2020-03-01
OR,1,West,2020-03-01
UT,0,West,2020-03-01
WA,7,West,2020-03-01
WY,0,West,2020-03-01
IA,0,Midwest,2020-03-01
IL,0,Midwest,2020-03-01
IN,0,Midwest,2020-03-01
KS,0,Midwest,2020-03-01
MI,0,Midwest,2020-03-01
